categoryId,question,answer
1,اذكر كلمة تبدأ بحرف الميم,منزل
1,اذكر اسم حيوان يبدأ بحرف الجيم,جمل
1,اذكر اسم دولة تبدأ بحرف السين,سوريا
1,اذكر اسم طعام يبدأ بحرف الفاء,فلافل
2,استبدل حرف في كلمة "سماء" لتصبح اسم فاكهة,تماء (تفاح)
2,استبدل حرف في كلمة "برد" لتصبح اسم حيوان,قرد
2,استبدل حرف في كلمة "سالم" لتصبح اسم فاكهة,مانجو
3,شارك معلومة عن الفضاء,إجابة مفتوحة
3,شارك قصة قصيرة عن موقف مضحك حدث لك,إجابة مفتوحة
3,شارك معلومة غريبة عن الحيوانات,إجابة مفتوحة
4,صحح الخطأ: "ذهبت إلا المدرسة",ذهبت إلى المدرسة
4,صحح الخطأ: "رأيت محمد في السوق",رأيت محمداً في السوق
4,صحح الخطأ: "تعلمنا كتير من الدرس",تعلمنا كثيراً من الدرس
